"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"65";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-11 17:21:51";"indu11"
"66";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-11 17:21:55";"indu5"
"67";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:22:09";"indu3"
"68";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""profundidad\nMetros\nnombre\n"",""tipo"":""text""}}";"2019-10-11 17:22:09";"indu3"
"69";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:22:09";"indu3"
"70";"click_enviar_pretest_cancelado";;"2019-10-11 17:22:10";"indu3"
"71";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""1"",""tipo"":""checkbox""}}";"2019-10-11 17:22:55";"indu11"
"72";"click_enviar_pretest_cancelado";;"2019-10-11 17:22:58";"indu11"
"73";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-11 17:23:09";"indu5"
"74";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-11 17:23:11";"indu5"
"75";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:23:22";"Indu7"
"76";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:23:22";"Indu7"
"77";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""fosa\nde\nlas\nmarianas"",""tipo"":""text""}}";"2019-10-11 17:23:22";"Indu7"
"78";"click_enviar_pretest_confirmado";;"2019-10-11 17:23:23";"Indu7"
"79";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:23:23";"Indu7"
"80";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:23:23";"Indu7"
"81";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:23:25";"Indu14"
"82";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:23:25";"Indu14"
"83";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""fosa\nde \nlas\nmarianas"",""tipo"":""text""}}";"2019-10-11 17:23:25";"Indu14"
"84";"click_enviar_pretest_confirmado";;"2019-10-11 17:23:28";"Indu14"
"85";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:23:28";"Indu14"
"86";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:23:28";"Indu14"
"87";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:23:28";"Indu7"
"88";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:23:31";"Indu7"
"89";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:23:32";"Indu7"
"90";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:23:34";"Indu7"
"91";"cerrar_tour";"{""id_desafio"":4}";"2019-10-11 17:23:38";"Indu7"
"92";"click_ver_ocultar_desafio";"{""id_desafio"":4,""data"":""ver_desafio""}";"2019-10-11 17:23:39";"Indu13"
"93";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:23:39";"Indu14"
"94";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:23:42";"Indu14"
"95";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:23:47";"Indu14"
"96";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:23:50";"Indu14"
"97";"cerrar_tour";"{""id_desafio"":4}";"2019-10-11 17:23:55";"Indu14"
"98";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""1"",""tipo"":""checkbox""}}";"2019-10-11 17:24:21";"indu11"
"99";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""1"",""tipo"":""checkbox""}}";"2019-10-11 17:24:21";"indu11"
"100";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""\n-"",""tipo"":""text""}}";"2019-10-11 17:24:21";"indu11"
"101";"click_enviar_pretest_confirmado";;"2019-10-11 17:24:22";"indu11"
"102";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:24:22";"indu11"
"103";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:24:22";"indu11"
"104";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:24:24";"indu3"
"105";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:24:24";"indu3"
"106";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""profundidad\nMetros\nnombre\n"",""tipo"":""text""}}";"2019-10-11 17:24:24";"indu3"
"107";"click_enviar_pretest_confirmado";;"2019-10-11 17:24:25";"indu3"
"108";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:24:25";"indu3"
"109";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:24:25";"indu3"
"110";"login";;"2019-10-11 17:24:25";"indu10"
"111";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":200}}";"2019-10-11 17:24:28";"Indu7"
"112";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:24:31";"Indu13"
"113";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:24:31";"indu11"
"114";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":197}}";"2019-10-11 17:24:32";"Indu14"
"115";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:24:33";"indu11"
"116";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:24:37";"indu11"
"117";"click_ver_ocultar_desafio";"{""id_desafio"":4,""data"":""esconder_desafio""}";"2019-10-11 17:24:39";"Indu13"
"118";"click_ver_ocultar_desafio";"{""id_desafio"":4,""data"":""ver_desafio""}";"2019-10-11 17:24:39";"Indu13"
"119";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":199}}";"2019-10-11 17:24:39";"Indu7"
"120";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://josmanuelfidalgo.blogspot.com/2011/08/el-abismo-challenger-en-la-fosa-de-las.html"",""id_SERP"":197}}";"2019-10-11 17:24:41";"Indu14"
"121";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:24:41";"indu11"
"122";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://www.euston96.com/fosa-de-las-marianas/"",""id_SERP"":200}}";"2019-10-11 17:24:43";"Indu13"
"123";"click_SERP_ver";"{""id_desafio"":4,""data"":{""url"":""https://www.bbc.com/mundo/noticias/2011/12/111207_ciencia_oceano_profundidad"",""id_SERP"":198}}";"2019-10-11 17:24:44";"Indu7"
"124";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:24:46";"Indu12"
"125";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-11 17:24:46";"Indu12"
"126";"cerrar_tour";"{""id_desafio"":4}";"2019-10-11 17:24:46";"indu11"
"127";"click_enviar_pretest_confirmado";;"2019-10-11 17:24:47";"Indu12"
"128";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:24:47";"Indu12"
"129";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:24:47";"Indu12"
"130";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":198}}";"2019-10-11 17:24:59";"Indu7"
"131";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:25:00";"Indu12"
"132";"click_recomendar";"{""id_desafio"":4,""data"":{""texto"":""recomendado"",""id_SERP"":197}}";"2019-10-11 17:25:00";"Indu7"
"133";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:25:01";"Indu12"
