"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"3850";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-15 15:27:07";"usuario108"
"3851";"click_guardar";"{""id_desafio"":1,""data"":{""texto"":""guardado"",""id_SERP"":42}}";"2019-10-15 15:27:07";"usuario47"
"3852";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":42}}";"2019-10-15 15:27:09";"usuario47"
"3853";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 15:27:10";"usuario108"
"3854";"click_salir";;"2019-10-15 15:27:10";"usuario91"
"3855";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-15 15:27:10";"usuario55"
"3856";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":5}}";"2019-10-15 15:27:11";"usuario54"
"3857";"click_SERP_ver";"{""id_desafio"":1,""data"":{""url"":""http://www.profesorenlinea.cl/Ciencias/SidaChile.htm"",""id_SERP"":41}}";"2019-10-15 15:27:12";"usuario47"
"3858";"click_SERP_ver";"{""id_desafio"":2,""data"":{""url"":""https://www.eldefinido.cl/actualidad/pais/7806/Mas-delincuencia-en-Chile-Los-datos-de-la-percepcion-versus-la-realidad/"",""id_SERP"":94}}";"2019-10-15 15:27:14";"usuario78"
"3859";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":1,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-15 15:27:14";"usuario8"
"3860";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""VIH\nChile\nCantidad"",""tipo"":""text""}}";"2019-10-15 15:27:14";"usuario8"
"3861";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-15 15:27:15";"usuario55"
"3862";"pagination";"{""id_desafio"":1,""data"":{""pagina"":1}}";"2019-10-15 15:27:15";"usuario8"
"3863";"click_enviar_pretest_confirmado";;"2019-10-15 15:27:16";"usuario8"
"3864";"cerrar_pagina";"53b8cd43-";"2019-10-15 15:27:18";"usuario8"
