"15","VIH Sida en Chile: Cifras del Minsal indican que casos ...","VIH Sida en Chile: Cifras del Minsal ... Toda vez que entendemos que en Chile 45 mil personas estaban contagiadas con VIH, pero con esta nueva estimación proyectamos que son 100 mil"".","https://www.24horas.cl/nacional/vih-sida-en-chile-cifras-del-minsal-indican-que-casos-crecieron-96-en-siete-anos-2684673","53b7c11d-","0","1","B"
"16","Vihsida en Chile","Por esta falta de información ""general"", en los más de 400 personas que asistían mensualmente a la Fundación a retirar sus medicamentos, es que me propuse investigar más sobre el tema y hacer pequeños boletines informativos para aprender a vivir con el vihsida, entender los resultados de los exámenes trimestrales, sobre prevención y transmisión, uso del preservativo, etc.","http://vih.cl/","53b7c359-","0","1","B"
"17","La infección por VIH en nuestro país es una epidemia que ...","En Chile más hay de 30 mil personas diagnosticadas con VIH, y se estima que entre 20 y 25 mil personas podrían estar infectadas, sin diagnóstico.En este contexto, entre 1999 y 2013 ha sido en la población más joven donde proporcionalmente ha aumentado de manera más importante el contagio: en el grupo entre 15 y 19 años el alza ha sido de un 125 por ciento, mientras en los jóvenes entre ...","http://www.uchile.cl/noticias/124942/la-infeccion-por-vih-en-chile-es-una-epidemia-que-no-esta-controlada","53b7c595-","0","1","B"
"18","VIH Sida en Chile: alertan que casos han aumentado un 96% ...","VIH Sida en Chile: alertan que casos han aumentado un 96% y que alza está por sobre África ... agregó que “entendemos que en Chile 45 mil personas estaban contagiadas con VIH, pero con esta ...","https://www.biobiochile.cl/noticias/nacional/chile/2018/04/09/vih-sida-en-chile-alertan-que-casos-han-aumentado-un-96-y-que-alza-esta-por-sobre-africa.shtml","53b7cba1-","0","1","B"
"19","Casos de VIH en Chile aumentan un 45% entre 2010 y 2015 ...","Los casos confirmados de personas infectadas con el virus de inmunodeficiencia humana (VIH) en el país han experimentado un aumento de 45% entre los años 2010 y 2015, según el último boletín de vigilancia de dicha enfermedad, elaborado en noviembre del 2016 por el Instituto de Salud Pública (ISP) del Ministerio de Salud.","https://www.t13.cl/noticia/nacional/casos-vih-chile-aumentan-45-2010-y-2015","53b7cde0-","0","1","B"
"20","VIH y SIDA en Chile - politicaspublicas.uc.cl","en las personas viviendo con VIH, sino en la población general. Es por esto que su forma y contenido como mensaje masivo a la población es crucial para contener efectivamente el avance masivo de la epidemia. En este contexto, el aumento constante del número de personas viviendo con VIH o SIDA y la complejidad de los pro-","https://politicaspublicas.uc.cl/wp-content/uploads/2015/02/vih-y-sida-eb-chile-desafios-para-su-prevencion.pdf","53b7d027-","0","1","B"
"21","Virus de la inmunodeficiencia humana - Wikipedia, la ...","El virus de la inmunodeficiencia humana (VIH) es un lentivirus (un subgrupo de los retrovirus) que causa la infección por VIH [1] y con el tiempo el síndrome de inmunodeficiencia adquirida (sida). [2] [3] El sida es una enfermedad humana que progresa hacia la falla del sistema inmune, lo que permite que se desarrollen infecciones oportunistas y cánceres potencialmente mortales.","https://es.wikipedia.org/wiki/Virus_de_la_inmunodeficiencia_humana","53b7d61e-","0","1","C"
"22","VIH y sida: MedlinePlus en español","VIH significa virus de la inmunodeficiencia humana. Éste daña el sistema inmunitario mediante la destrucción de los glóbulos blancos que combaten las infecciones. Esto lo pone en riesgo de contraer infecciones graves y ciertos tipos de cáncer. Sida significa síndrome de inmunodeficiencia adquirida.","https://medlineplus.gov/spanish/hivaids.html","53b7d874-","0","1","C"
"23","OMS | VIH/SIDA","El virus de la inmunodeficiencia humana (VIH) infecta a las células del sistema inmunitario, alterando o anulando su función. La infección produce un deterioro progresivo del sistema inmunitario, con la consiguiente ""inmunodeficiencia"". Se considera que el sistema inmunitario es deficiente cuando ...","https://www.who.int/topics/hiv_aids/es/","53b7dc31-","0","1","C"
"24","VIH/sida: Enciclopedia de MedlinePlus – NIH","El VIH no se transmite a una persona que done sangre u órganos. Las personas que donan órganos nunca entran en contacto directo con las personas que los reciben. De la misma manera, alguien que dona sangre nunca tiene contacto con el que la recibe. En todos estos procedimientos se utilizan agujas ...","https://medlineplus.gov/spanish/ency/article/000594.htm","53b7e24f-","0","1","C"
"25","¿QUÉ ES EL VIH? - INFOSIDA","¿QUÉ ES EL VIH? El VIH o Virus de la Inmunodeficiencia Humana es un retrovirus que ataca al sistema inmunitario de la persona infectada. El sistema inmunitario es la defensa natural de nuestro cuerpo frente a los microorganismos infecciosos, como las bacterias, virus y hongos capaces de invadir nuestro organismo. En concreto, el VIH ataca …","https://www.infosida.es/que-es-el-vih","53b7e49a-","0","1","C"
"26","Datos sobre VIH y SIDA | Síntomas, prevención y tratamiento","Si tienes VIH, recibir tratamiento puede disminuír e incluso detener las posibilidades de contagiar a otros con el virus. Si no tienes VIH, también existe una medicina diaria, llamada PrEP que puede ayudar a protegerte del VIH. Este virus también se puede transmitir al bebé durante el embarazo, el parto o al amamantar.","https://www.plannedparenthood.org/es/temas-de-salud/enfermedades-de-transmision-sexual-ets/vih-sida","53b7e815-","0","1","C"
"27","VIH/SIDA: Conceptos básicos | El VIH/SIDA | infoSIDA","Hojas informativas acerca del tratamiento del VIH/SIDA, hojas de datos, la prevención de la transmisión de la madre al hijo, los efectos secundarios del tratamiento del VIH. Todas las hojas informativas están escritas para los pacientes en un lenguaje fácil de leer.","https://infosida.nih.gov/understanding-hiv-aids/fact-sheets/19/45/vih-sida--conceptos-basicos","53b7ee87-","0","1","C"
